ingest_date,district,bedrooms,currency,listing_count,avg_price,median_price,min_price,max_price,avg_area_m2,median_price_per_m2,new_listing_count,removed_listing_count,price_changed_count,offer_change_pct,calculated_at
2026-07-14,Jesús María,1,PEN,27,2001.37,2000,1500,3000,44.26,45,27,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Jesús María,2,PEN,22,2329.45,2400,1600,3500,61.5,39.34,22,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Jesús María,3,PEN,21,3063.76,2850,2000,4300,88.3,35.29,21,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Jesús María,4,PEN,1,3500,3500,3500,3500,96,36.46,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Jorge Chavez,1,PEN,1,1850,1850,1850,1850,39,47.44,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Jose Balta,3,PEN,1,5900,5900,5900,5900,153,38.56,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,La Calera,1,PEN,2,1825,1650,1650,2000,49.5,36.67,2,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,La Calera,3,PEN,1,2100,2100,2100,2100,77,27.27,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,La Calera De La Merced,1,PEN,3,1700,1700,1650,1750,41.67,42.5,3,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,La Calera De La Merced,2,PEN,3,2283.33,2100,2000,2750,68,32.81,3,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,La Calera De La Merced,3,PEN,5,2870,2800,2450,3600,84.8,34.67,5,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,La Campiña,2,PEN,1,1600,1600,1600,1600,69,23.19,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,La Campiña,3,PEN,3,1600,1500,1500,1800,69.67,24.19,3,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,La Capilla,2,PEN,1,1350,1350,1350,1350,70,19.29,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,La Capilla,3,PEN,1,2600,2600,2600,2600,97,26.8,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,La Capullana,1,PEN,1,1450,1450,1450,1450,23,63.04,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,La Castellana,2,PEN,1,3200,3200,3200,3200,58,55.17,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,La Esperanza,2,PEN,1,2500,2500,2500,2500,56,44.64,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,La Macarena,3,PEN,1,2700,2700,2700,2700,120,22.5,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,La Mar,2,PEN,1,1800,1800,1800,1800,70,25.71,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,La Mar,3,PEN,2,2225,2150,2150,2300,84.5,25.29,2,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,La Molina,1,PEN,2,1450,1200,1200,1700,49.5,28.33,2,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,La Molina,2,PEN,3,1830,1600,1200,2690,67,26.67,3,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,La Molina,3,PEN,5,2499.8,2600,2000,2800,106.4,24.07,5,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,La Molina Vieja,2,PEN,1,2700,2700,2700,2700,120,22.5,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,La Victoria,1,PEN,5,1980,2000,1600,2300,40.2,45.71,5,0,0,null,2026-07-14T01:25:15.299954Z
